id,created_at,source,retweets,favorites,text
690529690205818880,2016-01-22T13:41:22Z,Twitter for Android,NA,NA,"#TedCruz eligibility to be President not settled law, says Cruz' Constitutional Law Professor, #LaurenceTribe https://t.co/GWKoJsBINZ"""
690530164711624704,2016-01-22T13:43:15Z,Twitter for Android,NA,NA,"""@TruBluMajority: #laurencetribe calls Cruz ""constitutional hypocrite"" on @WBUR https://t.co/qRFINtcJlX @pbsgwen @charlierose @jaketapper"
690532959363866624,2016-01-22T13:54:21Z,Twitter for Android,NA,NA,"Highly respected Constitutional law professor Mary Brigid McManamon has just stated, ""Ted Cruz is not eligible to be President."" Big problem"
690534215478173696,2016-01-22T13:59:21Z,Twitter for Android,NA,NA,"""@D: #MaryBrigidMcManamon, Washington Post: Constitutionally speaking, #Cruz simply isn’t eligible to be president https://t.co/DBtTgsC1il"""
690534576066719744,2016-01-22T14:00:47Z,Twitter for Android,NA,NA,"""@CyberCiety: #MaryBrigidMcManamon clarified how #CommonLaw is used to interpret meaning of #NaturalBorn #TedCruz https://t.co/5y6SZrTdGr"""
690537121916923904,2016-01-22T14:10:54Z,Twitter for Android,NA,NA,"""@MiamiNewTimes: Poll: Trump has more support in Florida than Rubio and Bush combined. https://t.co/uvH2BKQRHf https://t.co/2tvIaa2aFr"""
690540484154896384,2016-01-22T14:24:15Z,Twitter for Android,NA,NA,The failing @NRO National Review Magazine has just been informed by the Republican National Committee that they cannot participate in debate
690560125916975104,2016-01-22T15:42:18Z,Twitter for Android,NA,NA,"After spending $89 million, @JebBush is at the bottom of the barrel in polls. He is ashamed to use the name ""Bush"" in ads. Low energy guy!"
690560942430523392,2016-01-22T15:45:33Z,Twitter for Android,NA,NA,"""@Lisa_Milicaj: Truth be told, I  never heard of The National Review until they ""tried"" to declare war on you. No worries, you got my vote!"""
690562515500032000,2016-01-22T15:51:48Z,Twitter for Android,NA,NA,"""@WhiteGenocideTM: @realDonaldTrump Poor Jeb. I could've sworn I saw him outside Trump Tower the other day! https://t.co/e5uLRubqla"""
690585875365756928,2016-01-22T17:24:37Z,Twitter for iPhone,NA,NA,Wow! This might be my highest # yet! Thank you to my opposition- you are totally ineffective &amp; have been for years! https://t.co/o1l1XNZvhU
690636948864512000,2016-01-22T20:47:34Z,Twitter for Android,NA,NA,The dying @NRO National Review has totally given up the fight against Barrack Obama. They have been losing for years. I will beat Hillary!
690641744287760384,2016-01-22T21:06:37Z,Twitter for iPhone,NA,NA,"New Reuters poll! Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/KDVZoUia4I"
690649956634353664,2016-01-22T21:39:15Z,Twitter for iPhone,NA,NA,"""National Black Republican Association Endorses Donald J. Trump"" #Trump2016 #MakeAmericaGreatAgain 
https://t.co/9IPw30G5OG"
690656497022337024,2016-01-22T22:05:15Z,Twitter for iPhone,NA,NA,"New National GOP Zogby Poll
#MakeAmericaGreatAgain #Trump2016
https://t.co/Ma6OABMYpF https://t.co/evqFrWKBD1"
690669496621633536,2016-01-22T22:56:54Z,Twitter for Android,NA,NA,Leaving Nevada now for Iowa. Things are looking good - great new polls!
690672420433178624,2016-01-22T23:08:31Z,Twitter for Android,NA,NA,Wow! New National Zogby Poll just out:.TRUMP 45. CRUZ 13. RUBIO 8. Big numbers.
690680515800596480,2016-01-22T23:40:41Z,Twitter for iPhone,NA,NA,"Just received the new Fox poll.
Thank you, America! #Trump2016 https://t.co/QKNineuS8H"
690682449387397120,2016-01-22T23:48:22Z,Twitter for iPhone,NA,NA,The tax scam Washington Post does among the most inaccurate stories of all. Really dishonest reporting.
690682782163447808,2016-01-22T23:49:42Z,Twitter for iPhone,NA,NA,"Rush Limbaugh is great, tells it as he sees it---really honorable guy! Thanks Rush! #Trump2016"
690684930259423232,2016-01-22T23:58:14Z,Twitter for iPhone,NA,NA,Ted Cruz went down big in just released Reuters poll - what's going on? Is it Goldman Sachs/Citi loans or Canada?
690701138899898368,2016-01-23T01:02:38Z,Twitter for iPhone,NA,NA,"Just watched Jeb's ad where he desperately needed mommy to help him. Jeb --- mom can't help you with ISIS, the Chinese or with Putin."
690708660377513984,2016-01-23T01:32:32Z,Twitter for iPhone,NA,NA,".@BrentBozell, one of the National Review lightweights, came to my office begging for money like a dog. Why doesn't he say that?"
690708850664669184,2016-01-23T01:33:17Z,Twitter for iPhone,NA,NA,The only reason irrelevant @GlennBeck doesn't like me is I refused to do his failing show - asked many times. Very few listeners - sad!
690709138884661248,2016-01-23T01:34:26Z,Twitter for iPhone,NA,NA,"Cruz says I supported TARP, which gave $25 million to Goldman Sachs, the bank which loaned him the money he didn't disclose. Puppet!"
690716679496679424,2016-01-23T02:04:23Z,Twitter for iPhone,NA,NA,Cruz did not renounce his Canadian citizenship as a US Senator- only when he started to run for #POTUS. He could be Canadian Prime Minister.
690717760205275136,2016-01-23T02:08:41Z,Twitter for iPhone,NA,NA,"Is Cruz honest? He is in bed w/ Wall St. &amp; is funded by Goldman Sachs/Citi, low interest loans. No legal disclosure &amp; never sold off assets."
690732776920743936,2016-01-23T03:08:21Z,Twitter for iPhone,NA,NA,"A wonderful article by a writer who truly gets it. I am for the people and the people are for me. #Trump2016 
https://t.co/6rh849dlYZ"
690884779693051904,2016-01-23T13:12:22Z,Twitter for Android,NA,NA,"""@TheSouthwasRite: @NRO cancelling my subscription- you people are idiots. @realDonaldTrump WILL be our next President. #Trump2016 #RNC"""
690889105035538432,2016-01-23T13:29:33Z,Twitter for Android,NA,NA,I am in Iowa. Will be making two speeches today. Good luck to all of the great folks on the East coast. Enjoy the beauty of the storm!
690889964599382016,2016-01-23T13:32:58Z,Twitter for Android,NA,NA,"""@LukeBrinker: One year from today. https://t.co/TcN6Z3XwyU"""
690890625722396672,2016-01-23T13:35:35Z,Twitter for Android,NA,NA,"""@noamscheiber: Dow down almost 2000 pts since start of year, but still outperforming Wall Street's investment in Jeb. JEB wants Common Core"
690896236765806592,2016-01-23T13:57:53Z,Twitter for iPhone,NA,NA,"I will be the greatest job-producing president in American history. #Trump2016 #VoteTrump 
https://t.co/tykxcT5ZtG https://t.co/oc480lwVQg"
690908222249512960,2016-01-23T14:45:31Z,Twitter for Android,NA,NA,".@AnnCoulter has been amazing. We will win and establish strong borders, we will build a WALL and Mexico will pay. We will be great again!"
690912264094781440,2016-01-23T15:01:34Z,Twitter for Android,NA,NA,"I am in Iowa watching all of these phony T.V. ads by the other candidates. All bull, politicians are all talk and no action-it won't happen!"
690913646117974016,2016-01-23T15:07:04Z,Twitter for Android,NA,NA,"Ted Cruz poll numbers are down big. Because he was born in Canada and was, until recently, a Canadian citizen, many believe he cannot run!"
690939641617211392,2016-01-23T16:50:22Z,Twitter for Android,NA,NA,"Heading to Sioux County, Iowa, where the crowd is amazing. Dr. Robert Jeffress will make the introduction. Make America Great Again!"
690940125014917120,2016-01-23T16:52:17Z,Twitter for iPhone,NA,NA,Based on @MegynKelly's conflict of interest and bias she should not be allowed to be a moderator of the next debate.
690940712578195456,2016-01-23T16:54:37Z,Twitter for iPhone,NA,NA,"Failing @GlennBeck lost all credibility. Not only was he fired @ FOX, he would have voted for Clinton over McCain. https://t.co/dfCOkb7Ex8"
690947906308681728,2016-01-23T17:23:12Z,Twitter for iPhone,NA,NA,"A wonderful story on Iowa voters by @arappeport of the @NYTimes. 
https://t.co/fGVQsMbRKj"
690990909719052288,2016-01-23T20:14:05Z,Twitter for iPhone,NA,NA,"Just left Sioux Center, Iowa. My speech was very well received. Truly great people! Packed house- overflow!"
690991290310197248,2016-01-23T20:15:36Z,Twitter for iPhone,NA,NA,"For the great people of Iowa, find your #IACaucus location at https://t.co/3KWOl20zMm. So important to vote! #MakeAmericaGreatAgain"
690991386011705344,2016-01-23T20:15:59Z,Twitter for iPhone,NA,NA,"Heading now to Pella, Iowa. Big crowd! Remember, Trump is a big buyer of Pella windows. See you soon!"
690994502710874112,2016-01-23T20:28:22Z,Twitter for iPhone,NA,NA,.@williebosshog such an honor to get your endorsement. You are a fantastic guy! It will not be forgotten. Don and Eric say hello!
691013266584137728,2016-01-23T21:42:55Z,Twitter for iPhone,NA,NA,I will be on FOX with the great @JudgeJeanine tonight at 9pm EST! Enjoy! #Trump2016
691041847905390592,2016-01-23T23:36:30Z,Twitter for iPhone,NA,NA,"Just left a great event in Pella. Going to church tomorrow in Muscatine, Iowa."
691068100830040064,2016-01-24T01:20:49Z,Twitter for iPhone,NA,NA,Serious doubt in Illinois as to whether or not Cruz can run for President. First of many challenges. https://t.co/j9pngqvo5X
691068215342952448,2016-01-24T01:21:16Z,Twitter for iPhone,NA,NA,Word is that crying @GlennBeck left the GOP and doesn't have the right to vote in the Republican primary. Dumb as a rock.
691072793853632512,2016-01-24T01:39:28Z,Twitter for iPhone,NA,NA,"Love making correct predictions. National Review is over. 
https://t.co/tEHJTl6tNA
review-doomed"
691180597268520960,2016-01-24T08:47:50Z,Twitter for Android,NA,NA,"""@snoozinglion1: Full Speech: Donald Trump Campaign Rally in Pella IA (1-23-16) https://t.co/dUWQyP00kN via @YouTube One of his best ever"""
691180801900175360,2016-01-24T08:48:39Z,Twitter for Android,NA,NA,"""@CarolBurnett3:  @AnnCoulter I just love the way Ann Coulter remembers your acts of kindness Donald Trump....GO Trump we love you"""
691186141756674048,2016-01-24T09:09:52Z,Twitter for Android,NA,NA,"""@snoozinglion1: .@realDonaldTrump Great comment after last rally @rightside on @YouTube ""Triumph with Trump or lose with Cruz."" #Excellent"""
